route_id,schd_trip_id,stop_id,stop_sequence,arrival_time,schd_sec,trip_id,event_time,avl_sec,dwell_time,passenger_load,departure_time,avl_dep_sec
20,911214020,386,1,07:04:00,25440,911214020,2019-09-05 07:02:44,198164.0,233,0,2019-09-05 07:02:44,198164.0
20,911377020,386,1,07:08:30,25710,911377020,2019-09-05 07:09:16,198556.0,144,4,2019-09-05 07:09:16,198556.0
20,911283020,386,1,07:13:00,25980,911283020,2019-09-05 07:15:23,198923.0,465,4,2019-09-05 07:15:23,198923.0
20,910985020,386,1,07:17:00,26220,910985020,2019-09-03 07:22:46,26566.0,27,2,2019-09-03 07:23:13,26593.0
20,911298020,386,1,07:21:00,26460,911298020,2019-09-03 07:25:49,26749.0,4,5,2019-09-03 07:25:53,26753.0
20,910955020,386,1,07:25:00,26700,910955020,2019-09-06 07:25:16,285916.0,325,2,2019-09-06 07:25:37,285937.0
20,911004030,386,1,07:29:30,26970,911004030,2019-09-04 07:30:06,113406.0,639,26,2019-09-04 07:30:06,113406.0
20,911457020,386,1,07:34:00,27240,911457020,2019-09-05 07:35:47,200147.0,312,2,2019-09-05 07:36:22,200182.0
20,910579020,386,1,07:38:30,27510,910579020,2019-09-06 07:37:20,286640.0,285,1,2019-09-06 07:37:20,286640.0
20,911242020,386,1,07:43:00,27780,911242020,2019-09-05 07:47:39,200859.0,479,28,2019-09-05 07:47:39,200859.0
20,910043020,386,1,07:47:30,28050,910043020,2019-09-06 07:47:15,287235.0,299,3,2019-09-06 07:47:15,287235.0
20,911933020,386,1,07:52:00,28320,911933020,2019-09-03 08:00:18,28818.0,0,0,2019-09-03 08:00:18,28818.0
20,911386020,386,1,07:56:30,28590,911386020,2019-09-05 07:52:57,201177.0,776,2,2019-09-05 07:56:43,201403.0
20,911972020,386,1,08:01:00,28860,911972020,2019-09-05 07:57:35,201455.0,331,5,2019-09-05 08:01:12,201672.0
20,911318020,386,1,08:06:00,29160,911318020,2019-09-03 08:11:48,29508.0,337,18,2019-09-03 08:11:48,29508.0
20,911953020,386,1,08:12:00,29520,911953020,2019-09-06 08:11:14,288674.0,300,6,2019-09-06 08:11:26,288686.0
20,911414030,386,1,08:19:00,29940,911414030,2019-09-06 08:19:08,289148.0,380,20,2019-09-06 08:19:08,289148.0
20,910506020,386,1,08:27:30,30450,910506020,2019-09-05 08:31:42,203502.0,448,12,2019-09-05 08:32:51,203571.0
20,911267020,386,1,08:36:00,30960,911267020,2019-09-04 08:35:57,117357.0,114,10,2019-09-04 08:36:17,117377.0
20,911880020,386,1,08:45:30,31530,911880020,2019-09-05 08:45:13,204313.0,100,10,2019-09-05 08:45:13,204313.0
20,911370020,386,1,08:55:00,32100,911370020,2019-09-03 08:55:57,32157.0,290,9,2019-09-03 08:56:03,32163.0
20,911905030,386,1,09:05:00,32700,911905030,2019-09-05 09:01:13,205273.0,649,53,2019-09-05 09:02:58,205378.0
20,911217020,386,1,09:15:00,33300,911217020,2019-09-05 09:32:31,207151.0,1103,34,2019-09-05 09:38:15,207495.0
20,911290020,386,1,09:25:00,33900,911290020,2019-09-03 09:30:21,34221.0,100,12,2019-09-03 09:32:01,34321.0
20,911303020,386,1,09:35:00,34500,911303020,2019-09-04 09:36:43,121003.0,126,13,2019-09-04 09:36:43,121003.0
20,911455020,386,1,09:45:00,35100,911455020,2019-09-04 09:42:53,121373.0,909,74,2019-09-04 09:47:36,121656.0
20,911244020,386,1,09:55:00,35700,911244020,2019-09-04 09:52:47,121967.0,272,3,2019-09-04 09:54:58,122098.0
